fact_table_natural_key,accm_txn_complete_time
R61816,2022-05-15 05:23:28
R20453,2022-05-15 21:09:14
R55726,2022-05-15 13:14:00
R78502,2022-05-14 11:44:15
R55973,2022-05-15 03:25:33
R85711,2022-05-14 11:17:35
R38796,2022-05-15 22:47:44
R61679,2022-05-14 22:23:40
R29346,2022-05-15 12:50:07
R15763,2022-05-14 22:58:27
R74704,2022-05-14 07:26:57
R70652,2022-05-15 06:14:14
R29234,2022-05-14 07:57:38
R72980,2022-05-14 16:31:47
R33314,2022-05-14 10:35:50
R40353,2022-05-15 08:29:04
R37901,2022-05-14 19:36:25
R85273,2022-05-14 06:57:11
R86292,2022-05-15 09:38:34
R75012,2022-05-14 08:01:27
R71806,2022-05-14 15:10:10
R40434,2022-05-14 21:27:31
R13667,2022-05-15 21:53:57
R35166,2022-05-14 13:23:11
R63076,2022-05-15 04:14:27
R72129,2022-05-14 14:14:44
R74506,2022-05-15 19:14:27
R14832,2022-05-14 02:46:16
R17889,2022-05-14 01:07:12
R82447,2022-05-15 07:32:28
R12983,2022-05-14 18:17:06
R49640,2022-05-15 07:26:35
R23082,2022-05-15 09:39:20
R12489,2022-05-14 05:09:41
R61614,2022-05-14 14:29:44
R47133,2022-05-15 10:31:42
R86052,2022-05-14 23:00:44
R89426,2022-05-15 22:58:21
R89136,2022-05-14 15:09:22
R60514,2022-05-15 06:30:54
R14711,2022-05-15 02:43:00
R23678,2022-05-14 21:14:06
R79401,2022-05-14 21:31:27
R30315,2022-05-15 08:29:47
R60463,2022-05-14 01:41:02
R67040,2022-05-14 19:41:41
R78916,2022-05-14 17:12:33
R33977,2022-05-15 11:46:38
R25141,2022-05-15 15:00:45
R82764,2022-05-14 12:26:23
R14915,2022-05-14 07:28:49
R68986,2022-05-14 10:59:58
R58297,2022-05-15 02:44:38
R31114,2022-05-14 00:50:07
R83897,2022-05-14 03:52:49
R41652,2022-05-15 19:31:38
R75189,2022-05-15 17:21:46
R65739,2022-05-15 15:00:11
R27847,2022-05-14 21:42:26
R20896,2022-05-14 09:47:10
R78091,2022-05-15 22:24:52
R52260,2022-05-15 20:33:55
R69271,2022-05-15 13:54:05
R56317,2022-05-15 09:04:30
R59792,2022-05-15 17:11:14
R83988,2022-05-14 23:54:59
R52957,2022-05-14 12:39:34
R42863,2022-05-14 12:40:55
R17391,2022-05-15 08:29:40
R67802,2022-05-15 13:07:47
R52602,2022-05-15 19:20:12
R44077,2022-05-14 02:26:50
R39774,2022-05-15 16:40:04
R62914,2022-05-15 09:22:41
R78176,2022-05-14 21:27:53
R23371,2022-05-15 11:47:06
R82194,2022-05-14 21:30:06
R53509,2022-05-14 08:26:50
R83345,2022-05-15 08:07:30
R88888,2022-05-15 06:24:26
R34045,2022-05-14 19:32:03
R62001,2022-05-15 06:57:47
R29313,2022-05-14 12:57:48
R18853,2022-05-15 12:23:34
R16266,2022-05-14 20:12:05
R41130,2022-05-14 22:36:10
R25249,2022-05-14 01:49:21
R20745,2022-05-14 11:59:20
R42120,2022-05-15 05:29:42
R46166,2022-05-14 17:14:18
R58447,2022-05-15 07:57:00
R76684,2022-05-15 23:32:19
R83596,2022-05-14 16:09:29
R82772,2022-05-14 13:49:50
R33241,2022-05-15 14:34:04
R46547,2022-05-14 09:48:14
R39587,2022-05-15 06:31:12
R20259,2022-05-14 00:33:10
R30244,2022-05-14 11:59:37
R58625,2022-05-15 10:34:12
R50907,2022-05-14 19:45:49
R28695,2022-05-14 22:13:14
R28472,2022-05-14 16:34:45
R20314,2022-05-14 08:43:06
R15754,2022-05-15 12:22:26
R13571,2022-05-15 16:32:38
R72059,2022-05-15 02:24:18
R75271,2022-05-14 04:51:52
R86204,2022-05-14 23:57:16
R84435,2022-05-14 09:07:19
R17468,2022-05-14 04:07:37
R26556,2022-05-14 12:17:16
R72958,2022-05-14 23:35:50
R27316,2022-05-15 00:19:52
R87168,2022-05-15 01:54:16
R65556,2022-05-14 19:02:24
R21892,2022-05-14 01:18:09
R50328,2022-05-14 09:48:36
R67918,2022-05-14 22:17:43
R43006,2022-05-14 03:55:32
R74437,2022-05-14 16:46:51
R26590,2022-05-14 16:28:04
R15414,2022-05-14 20:46:07
R75902,2022-05-15 22:37:35
R43319,2022-05-15 17:49:39
R80544,2022-05-14 14:17:06
R77276,2022-05-14 10:35:46
R22471,2022-05-14 06:28:27
R73311,2022-05-15 03:44:07
R19876,2022-05-15 07:48:47
R55493,2022-05-14 10:27:28
R43769,2022-05-14 20:12:26
R48478,2022-05-14 14:24:29
R70091,2022-05-14 13:41:15
R28522,2022-05-14 23:00:47
R36743,2022-05-15 11:18:44
R10057,2022-05-15 12:40:46
R50395,2022-05-14 06:27:05
R34022,2022-05-15 22:53:00
R52525,2022-05-14 02:03:40
R83614,2022-05-15 08:23:18
R20879,2022-05-15 08:18:25
R75554,2022-05-15 19:34:32
R34037,2022-05-15 21:55:01
R64501,2022-05-14 10:57:02
R77537,2022-05-14 16:18:31
R81434,2022-05-14 12:40:16
R78834,2022-05-15 16:54:54
R35613,2022-05-14 06:28:51
R35135,2022-05-14 06:34:10
R49005,2022-05-15 05:34:30
R34122,2022-05-15 10:05:11
R29508,2022-05-14 07:51:05
R31329,2022-05-14 23:32:02
R37628,2022-05-15 15:20:17
R89935,2022-05-14 06:43:43
R16740,2022-05-14 15:10:33
R79018,2022-05-14 10:03:48
R87377,2022-05-14 22:29:49
R62613,2022-05-15 11:49:44
R56073,2022-05-14 04:12:20
R53213,2022-05-14 13:39:46
R25750,2022-05-15 10:30:55
R45883,2022-05-14 01:46:17
R21634,2022-05-14 08:56:49
R12422,2022-05-15 20:52:08
R77538,2022-05-14 08:23:03
R44968,2022-05-15 23:05:16
R70718,2022-05-14 21:14:25
R35779,2022-05-15 23:46:48
R20100,2022-05-14 16:12:41
R22627,2022-05-15 17:43:38
R82333,2022-05-15 06:57:06
R66107,2022-05-15 04:06:02
R20393,2022-05-15 01:29:41
R39050,2022-05-14 20:34:12
R58706,2022-05-15 03:29:22
R37014,2022-05-14 02:22:26
R10463,2022-05-14 04:54:43
R87539,2022-05-15 06:30:15
R10271,2022-05-15 14:30:00
R35051,2022-05-15 10:57:32
R18751,2022-05-15 23:15:11
R59343,2022-05-14 07:08:05
R56885,2022-05-15 07:00:12
R38484,2022-05-14 18:43:54
R77597,2022-05-14 03:17:05
R81782,2022-05-15 05:27:04
R25884,2022-05-14 15:32:37
R37699,2022-05-14 22:46:10
R13996,2022-05-14 20:58:28
R65630,2022-05-15 17:21:58
R87207,2022-05-14 04:17:19
R77032,2022-05-15 06:25:28
R26090,2022-05-15 10:29:17
R57588,2022-05-15 06:45:52
R36522,2022-05-15 17:35:34
R54085,2022-05-15 08:20:57
R19713,2022-05-14 03:10:33
R40930,2022-05-14 04:01:21
R46045,2022-05-14 11:16:37
R74366,2022-05-14 09:35:21
R17909,2022-05-15 17:51:41
R24563,2022-05-14 14:55:44
R54945,2022-05-15 22:53:25
R69028,2022-05-15 09:14:35
R19930,2022-05-14 09:53:42
R82625,2022-05-14 15:18:19
R35091,2022-05-15 21:35:49
R70568,2022-05-15 19:39:04
R67707,2022-05-15 16:45:10
R30219,2022-05-15 06:28:58
R16534,2022-05-15 03:58:24
R49672,2022-05-15 13:47:37
R66799,2022-05-15 14:22:29
R35654,2022-05-15 18:05:12
R83291,2022-05-14 06:42:38
R64951,2022-05-15 21:00:58
R50736,2022-05-14 00:22:58
R81486,2022-05-14 16:31:02
R82987,2022-05-15 08:22:53
R34875,2022-05-15 01:31:50
R52855,2022-05-15 03:33:44
R18325,2022-05-15 21:19:21
R12754,2022-05-14 18:02:41
R66037,2022-05-14 01:39:45
R38731,2022-05-15 19:09:26
R71138,2022-05-15 09:38:30
R72894,2022-05-15 02:22:15
R43494,2022-05-14 13:35:46
R28934,2022-05-15 15:20:27
R35515,2022-05-15 17:13:27
R16565,2022-05-14 23:00:46
R67589,2022-05-15 13:53:50
R27781,2022-05-14 21:51:27
R30679,2022-05-14 08:05:41
R53776,2022-05-15 14:19:35
R83061,2022-05-15 14:28:46
R65185,2022-05-15 19:35:27
R13240,2022-05-14 19:05:12
R30542,2022-05-14 04:26:24
R86360,2022-05-14 14:59:53
R45009,2022-05-14 04:50:48
R73426,2022-05-15 03:33:47
R48883,2022-05-14 05:55:00
R60784,2022-05-14 09:52:57
R50316,2022-05-14 12:07:40
R52073,2022-05-14 04:51:15
R55761,2022-05-15 07:00:57
R19525,2022-05-15 10:08:06
R31278,2022-05-15 02:49:21
R40709,2022-05-15 18:03:55
R72151,2022-05-15 06:27:32
R28676,2022-05-15 13:09:45
R29696,2022-05-14 20:44:47
R42394,2022-05-15 13:59:01
R73260,2022-05-14 17:54:41
R15372,2022-05-15 02:01:32
R62400,2022-05-14 02:44:39
R34518,2022-05-15 16:40:01
R15387,2022-05-15 07:53:20
R31476,2022-05-14 11:20:46
R15570,2022-05-15 03:25:58
R51148,2022-05-15 20:04:40
R64774,2022-05-15 13:32:25
R52546,2022-05-14 14:26:46
R42819,2022-05-15 10:26:44
R41429,2022-05-14 03:10:06
R73154,2022-05-14 21:45:31
R69570,2022-05-14 23:51:35
R58543,2022-05-14 17:18:00
R15436,2022-05-15 04:54:53
R32173,2022-05-15 02:42:03
R63626,2022-05-14 05:24:55
R10558,2022-05-15 14:33:56
R49137,2022-05-14 08:58:49
R61599,2022-05-14 11:07:32
R48687,2022-05-15 03:15:32
R71392,2022-05-15 15:28:17
R27334,2022-05-14 23:32:15
R34084,2022-05-15 11:48:32
R19663,2022-05-15 18:33:01
R51479,2022-05-15 00:49:31
R51702,2022-05-14 12:20:38
R44661,2022-05-14 20:41:46
R13048,2022-05-15 14:57:38
R68545,2022-05-15 12:39:24
R27398,2022-05-14 20:22:38
R87830,2022-05-15 19:46:06
R61109,2022-05-15 12:15:33
R70887,2022-05-14 15:04:00
R18999,2022-05-15 23:19:12
R80392,2022-05-14 15:46:48
R12994,2022-05-15 03:20:34
R79989,2022-05-14 04:46:39
R22870,2022-05-15 01:33:01
R58617,2022-05-14 15:27:46
R58574,2022-05-14 12:11:44
R75968,2022-05-15 15:14:49
R58559,2022-05-14 20:48:19
R25069,2022-05-15 05:43:28
R85829,2022-05-14 01:12:22
R72248,2022-05-15 00:32:00
R44259,2022-05-14 21:10:59
R73567,2022-05-14 12:05:00
R11418,2022-05-14 22:07:46
R53234,2022-05-14 14:11:27
R83775,2022-05-14 16:20:14
R13614,2022-05-14 17:38:00
R87027,2022-05-15 20:35:57
R28416,2022-05-15 14:34:39
R19220,2022-05-14 09:17:20
R70959,2022-05-15 01:37:17
R20862,2022-05-14 19:07:25
R39442,2022-05-15 13:05:32
R49214,2022-05-14 18:05:40
R43919,2022-05-14 15:31:49
R14609,2022-05-15 23:33:48
R82085,2022-05-15 17:26:01
R89423,2022-05-14 12:58:21
R32577,2022-05-15 17:55:31
R72644,2022-05-14 22:26:42
R64110,2022-05-15 15:21:45
R75808,2022-05-15 04:17:24
R23804,2022-05-15 21:53:09
R38239,2022-05-15 18:51:50
R40041,2022-05-14 14:32:34
R17492,2022-05-14 15:09:49
R37626,2022-05-15 04:18:04
R81320,2022-05-14 03:01:42
R48607,2022-05-15 13:59:04
R10178,2022-05-15 15:18:32
R44726,2022-05-15 13:14:39
R52228,2022-05-14 11:20:29
R47128,2022-05-15 16:40:21
R13337,2022-05-14 06:00:32
R76431,2022-05-14 07:29:55
R77044,2022-05-15 16:20:16
R37899,2022-05-15 01:14:43
R73635,2022-05-15 14:43:06
R25338,2022-05-14 11:26:34
R70079,2022-05-14 04:13:42
R45356,2022-05-15 09:08:15
R82423,2022-05-15 01:58:28
R49635,2022-05-15 12:38:19
R50927,2022-05-14 12:56:55
R64473,2022-05-14 01:41:56
R14184,2022-05-14 19:15:03
R45926,2022-05-14 15:58:04
R31944,2022-05-14 01:36:57
R32797,2022-05-15 16:27:25
R14035,2022-05-14 18:55:18
R25305,2022-05-15 02:28:39
R63230,2022-05-15 19:45:20
R48983,2022-05-14 14:18:54
R30504,2022-05-14 04:59:02
R54208,2022-05-14 08:01:46
R20112,2022-05-15 12:25:37
R38138,2022-05-14 16:37:24
R22853,2022-05-15 08:56:44
R33455,2022-05-15 11:11:04
R43008,2022-05-14 14:46:09
R85841,2022-05-15 11:01:19
R11596,2022-05-14 13:35:40
R69499,2022-05-15 13:14:14
R61292,2022-05-15 12:16:39
R12993,2022-05-14 13:43:11
R88907,2022-05-15 23:31:50
R31884,2022-05-15 14:02:07
R12720,2022-05-14 12:01:36
R13932,2022-05-15 06:08:31
R63185,2022-05-15 07:46:16
R23585,2022-05-14 14:20:30
R17875,2022-05-15 15:54:15
R18499,2022-05-15 13:43:23
R72364,2022-05-15 10:51:01
R79711,2022-05-15 07:58:19
R56823,2022-05-14 18:08:28
R41093,2022-05-15 03:05:49
R62821,2022-05-14 19:28:46
R51997,2022-05-14 14:46:50
R37461,2022-05-14 20:37:42
R57103,2022-05-14 17:58:27
R65880,2022-05-15 02:25:26
R89953,2022-05-14 13:51:57
R60017,2022-05-14 22:34:13
R35651,2022-05-14 06:01:24
R48667,2022-05-15 12:58:06
R89358,2022-05-14 07:44:18
R50719,2022-05-14 17:21:33
R12226,2022-05-14 12:51:16
R29888,2022-05-14 22:31:27
R44924,2022-05-15 08:10:29
R56897,2022-05-14 06:18:11
R24047,2022-05-15 19:52:49
R65664,2022-05-15 19:23:43
R58863,2022-05-15 21:56:17
R86945,2022-05-15 06:25:47
R84100,2022-05-14 09:37:03
R11505,2022-05-14 03:38:44
R82164,2022-05-14 05:01:42
R27903,2022-05-15 15:10:05
R83975,2022-05-15 09:07:07
R50173,2022-05-14 13:54:33
R38885,2022-05-15 02:43:17
R87533,2022-05-14 09:58:46
R72988,2022-05-15 12:59:35
R39219,2022-05-14 15:49:05
R89299,2022-05-15 15:55:22
R30976,2022-05-15 05:41:22
R22874,2022-05-15 13:28:38
R82077,2022-05-14 12:06:27
R37347,2022-05-15 15:29:48
R59881,2022-05-15 07:06:24
R28280,2022-05-14 03:11:58
R59318,2022-05-15 16:20:38
R28313,2022-05-15 14:26:35
R19648,2022-05-14 16:47:14
R11177,2022-05-15 15:49:45
R33151,2022-05-15 15:41:58
R41994,2022-05-14 07:07:55
R71752,2022-05-14 06:46:36
R17038,2022-05-14 03:14:08
R68630,2022-05-15 12:20:28
R71372,2022-05-14 20:32:15
R89416,2022-05-15 14:32:43
R52780,2022-05-15 06:25:12
R60672,2022-05-14 07:39:07
R43110,2022-05-15 17:41:53
R53975,2022-05-14 11:49:36
R49632,2022-05-15 22:48:05
R39921,2022-05-15 20:38:50
R85370,2022-05-14 03:08:28
R62032,2022-05-15 08:22:03
R64239,2022-05-14 13:05:40
R13359,2022-05-14 23:23:57
R57018,2022-05-14 22:23:00
R83072,2022-05-15 11:23:38
R88524,2022-05-14 23:08:17
R16562,2022-05-15 17:38:49
R63753,2022-05-14 13:41:06
R42698,2022-05-15 20:42:13
R12976,2022-05-14 21:19:35
R35381,2022-05-14 00:24:42
R39234,2022-05-15 18:40:30
R69869,2022-05-14 08:42:25
R36099,2022-05-14 21:19:15
R51117,2022-05-14 13:33:15
R38602,2022-05-14 14:56:08
R33082,2022-05-14 13:24:29
R47704,2022-05-14 00:51:17
R65743,2022-05-15 08:15:23
R30951,2022-05-15 17:20:13
R19139,2022-05-14 20:55:41
R71549,2022-05-15 06:13:21
R59321,2022-05-15 09:34:33
R72941,2022-05-14 07:13:55
R60814,2022-05-14 04:12:08
R88106,2022-05-15 04:01:23
R19741,2022-05-14 10:31:23
R83328,2022-05-14 08:53:23
R86334,2022-05-15 13:43:04
R33219,2022-05-15 12:01:55
R50835,2022-05-15 23:41:40
R43890,2022-05-14 02:03:29
R28485,2022-05-14 19:33:20
R78013,2022-05-15 00:39:28
R17177,2022-05-14 12:09:07
R76350,2022-05-15 06:07:34
R74248,2022-05-15 05:34:36
R40457,2022-05-15 14:31:59
R16221,2022-05-15 21:29:18
R58886,2022-05-15 16:52:42
R14360,2022-05-15 08:09:42
R10957,2022-05-15 21:13:44
R49882,2022-05-14 10:11:41
R14274,2022-05-15 04:23:42
R53578,2022-05-15 06:59:44
R78355,2022-05-14 04:31:20
R51581,2022-05-15 09:41:50
R63029,2022-05-15 02:49:04
R16340,2022-05-14 09:48:18
R75128,2022-05-15 08:15:36
R27812,2022-05-14 12:45:49
R50322,2022-05-14 12:53:14
R19424,2022-05-15 21:56:58
R71020,2022-05-14 19:55:56
R67922,2022-05-15 08:16:18
R69068,2022-05-15 23:39:21
R69073,2022-05-14 04:46:31
R29047,2022-05-14 03:18:58
R13047,2022-05-14 05:27:33
R81591,2022-05-15 16:41:00
R63996,2022-05-14 12:20:49
R67664,2022-05-15 13:20:26
R22271,2022-05-15 01:02:21
R19916,2022-05-15 02:01:55
R31237,2022-05-14 16:18:01
R83304,2022-05-15 12:26:34
R72764,2022-05-14 17:05:48
R14660,2022-05-15 16:04:58
R42791,2022-05-14 07:31:28
R81567,2022-05-14 13:26:10
R77660,2022-05-14 12:04:48
R51363,2022-05-14 14:53:10
R18736,2022-05-14 20:25:00
R20068,2022-05-15 03:08:56
R49948,2022-05-14 08:55:55
R28780,2022-05-15 19:12:21
R21764,2022-05-15 16:08:06
R66527,2022-05-15 19:30:51
R70648,2022-05-15 09:42:23
R46318,2022-05-15 22:29:01
R80019,2022-05-14 20:51:52
R37262,2022-05-15 05:44:49
R45787,2022-05-15 20:19:39
R71679,2022-05-14 21:46:34
R77062,2022-05-15 19:28:53
R32081,2022-05-14 11:53:08
R63351,2022-05-15 13:36:45
R82388,2022-05-14 19:19:40
R76194,2022-05-15 23:20:07
R63421,2022-05-15 17:03:42
R59280,2022-05-15 21:45:10
R27745,2022-05-15 03:53:15
R51688,2022-05-14 20:17:52
R84377,2022-05-15 21:27:14
R35918,2022-05-14 06:05:03
R37287,2022-05-15 02:08:47
R29169,2022-05-14 07:01:16
R10485,2022-05-15 06:01:00
R17234,2022-05-14 18:23:41
R22552,2022-05-15 04:01:24
R29773,2022-05-14 21:48:37
R39397,2022-05-14 15:24:11
R19922,2022-05-15 03:54:22
R34904,2022-05-14 20:21:47
R32848,2022-05-14 02:59:28
R39134,2022-05-14 05:59:31
R52877,2022-05-15 18:35:59
R78739,2022-05-15 15:20:58
R68388,2022-05-14 14:54:32
R72620,2022-05-14 00:21:18
R48592,2022-05-14 05:21:19
R50530,2022-05-15 18:18:07
R83403,2022-05-15 11:33:22
R65415,2022-05-15 04:12:45
R32574,2022-05-14 07:59:34
R80650,2022-05-14 12:43:10
R21003,2022-05-15 14:29:16
R11390,2022-05-15 18:42:28
R42501,2022-05-14 06:55:06
R12242,2022-05-14 18:07:43
R23451,2022-05-15 22:21:40
R46956,2022-05-15 08:54:30
R42474,2022-05-14 19:09:44
R89870,2022-05-15 09:32:57
R67575,2022-05-15 18:57:49
R52318,2022-05-15 05:16:00
R63155,2022-05-14 17:01:40
R80573,2022-05-15 06:57:31
R33117,2022-05-15 02:50:38
R42332,2022-05-15 14:17:37
R20962,2022-05-14 15:20:01
R21241,2022-05-14 15:19:50
R17502,2022-05-15 14:14:41
R27404,2022-05-15 10:52:21
R18230,2022-05-14 01:20:07
R72449,2022-05-15 19:58:45
R10878,2022-05-14 20:27:23
R18272,2022-05-15 18:41:54
R86082,2022-05-14 11:23:11
R43801,2022-05-15 14:15:54
R64717,2022-05-15 01:24:22
R51467,2022-05-14 17:57:19
R70541,2022-05-15 22:20:28
R24538,2022-05-15 05:10:41
R53049,2022-05-14 08:34:44
R15722,2022-05-14 12:15:20
R63252,2022-05-14 12:31:18
R25758,2022-05-15 22:10:28
R47964,2022-05-14 11:27:14
R80707,2022-05-15 10:35:59
R52519,2022-05-14 21:14:40
R10668,2022-05-15 08:07:12
R35111,2022-05-15 14:40:54
R37001,2022-05-14 14:55:00
R85598,2022-05-14 17:32:29
R80511,2022-05-14 02:58:15
R32576,2022-05-15 21:38:50
R25133,2022-05-14 17:37:38
R70545,2022-05-14 06:57:08
R34994,2022-05-14 08:44:34
R81086,2022-05-14 14:54:35
R50278,2022-05-15 09:48:28
R41336,2022-05-14 15:34:29
R56431,2022-05-14 17:15:44
R14438,2022-05-14 18:28:58
R18212,2022-05-15 07:16:52
R19423,2022-05-14 09:36:27
R39537,2022-05-14 22:26:17
R67751,2022-05-14 08:02:25
R28781,2022-05-14 17:13:31
R12319,2022-05-15 02:29:22
R87306,2022-05-15 23:09:32
R82737,2022-05-14 21:35:47
R63164,2022-05-15 03:52:21
R83613,2022-05-15 18:14:02
R76623,2022-05-15 22:46:21
R33636,2022-05-14 10:42:46
R52520,2022-05-14 07:44:09
R65720,2022-05-14 06:53:10
R78142,2022-05-14 08:54:54
R36277,2022-05-15 10:31:08
R34134,2022-05-14 17:34:32
R82507,2022-05-15 20:56:57
R17027,2022-05-14 02:59:21
R74413,2022-05-14 20:14:15
R84492,2022-05-15 08:50:25
R61476,2022-05-15 09:29:05
R54398,2022-05-14 13:56:02
R38147,2022-05-14 21:35:48
R89463,2022-05-15 05:43:04
R14159,2022-05-14 02:00:36
R71087,2022-05-14 22:09:38
R27859,2022-05-15 05:23:15
R44412,2022-05-14 22:58:04
R15370,2022-05-14 22:03:41
R43199,2022-05-14 21:37:04
R53663,2022-05-15 06:16:46
R22066,2022-05-15 16:06:56
R30995,2022-05-14 00:34:36
R11916,2022-05-14 16:58:30
R21076,2022-05-15 05:38:27
R59303,2022-05-14 18:04:37
R70638,2022-05-15 00:28:00
R10102,2022-05-15 15:29:03
R46423,2022-05-14 22:57:40
R55557,2022-05-15 13:49:15
R43248,2022-05-14 15:00:32
R70713,2022-05-15 19:47:42
R15242,2022-05-15 06:30:00
R17674,2022-05-14 12:51:41
R19563,2022-05-14 16:09:20
R53223,2022-05-14 20:41:41
R39436,2022-05-14 09:24:30
R25566,2022-05-15 16:03:48
R40033,2022-05-15 00:10:38
R69686,2022-05-14 15:07:49
R82034,2022-05-15 02:10:25
R40229,2022-05-15 02:45:56
R26851,2022-05-15 21:59:15
R55938,2022-05-14 21:53:40
R32494,2022-05-15 17:11:08
R54418,2022-05-15 09:54:00
R22287,2022-05-14 11:50:49
R24832,2022-05-15 02:15:53
R87926,2022-05-14 02:05:02
R46110,2022-05-15 18:16:04
R74418,2022-05-15 01:13:15
R19126,2022-05-15 21:12:52
R89981,2022-05-14 11:17:49
R35807,2022-05-14 08:01:17
R74937,2022-05-15 14:54:03
R67014,2022-05-15 16:51:28
R69165,2022-05-15 13:12:01
R79252,2022-05-14 04:39:32
R67995,2022-05-14 20:33:39
R23496,2022-05-14 01:21:35
R30697,2022-05-15 12:24:42
R13558,2022-05-14 06:50:45
R86894,2022-05-14 12:41:13
R48628,2022-05-15 13:45:40
R59319,2022-05-15 06:26:22
R53839,2022-05-14 01:16:23
R88405,2022-05-15 03:41:17
R26114,2022-05-14 15:12:20
R29847,2022-05-15 18:00:23
R68369,2022-05-14 16:15:22
R67041,2022-05-14 02:41:50
R86424,2022-05-14 06:37:39
R12270,2022-05-14 19:52:18
R79578,2022-05-15 17:08:30
R14196,2022-05-15 01:43:13
R35546,2022-05-14 09:44:14
R23156,2022-05-14 11:17:48
R87937,2022-05-14 17:57:50
R76740,2022-05-15 03:20:27
R42733,2022-05-14 09:19:55
R15278,2022-05-15 06:09:17
R58489,2022-05-14 04:43:46
R70512,2022-05-15 12:40:55
R83854,2022-05-14 09:22:21
R71871,2022-05-15 16:57:28
R32729,2022-05-15 15:38:19
R19275,2022-05-15 04:11:57
R11658,2022-05-14 01:41:40
R12476,2022-05-15 08:01:40
R48313,2022-05-14 08:28:09
R59290,2022-05-15 12:16:33
R70514,2022-05-14 09:29:47
R35847,2022-05-14 23:24:21
R39468,2022-05-15 19:21:54
R72287,2022-05-14 22:38:24
R47430,2022-05-14 01:47:14
R77367,2022-05-15 18:38:45
R28747,2022-05-15 14:12:49
R35526,2022-05-14 17:51:30
R67434,2022-05-15 04:34:15
R73815,2022-05-14 06:20:53
R26270,2022-05-14 10:37:14
R28517,2022-05-14 14:58:02
R33212,2022-05-15 06:43:57
R71816,2022-05-15 13:28:22
R65655,2022-05-15 11:41:35
R34318,2022-05-15 16:06:15
R17207,2022-05-15 04:30:39
R68108,2022-05-14 10:05:57
R87346,2022-05-14 15:34:56
R55521,2022-05-15 06:21:16
R85194,2022-05-15 04:17:05
R32834,2022-05-14 05:02:17
R48186,2022-05-15 13:06:55
R55575,2022-05-15 23:48:34
R72166,2022-05-15 08:36:13
R70633,2022-05-14 17:37:41
R43865,2022-05-14 11:27:46
R89823,2022-05-14 01:25:58
R74753,2022-05-15 15:18:55
R83050,2022-05-14 10:56:43
R67416,2022-05-14 17:24:27
R67010,2022-05-14 03:31:12
R68756,2022-05-14 03:05:25
R50566,2022-05-15 05:28:28
R87334,2022-05-14 23:52:43
R54956,2022-05-14 16:21:10
R34654,2022-05-15 00:03:45
R43786,2022-05-14 08:39:17
R26957,2022-05-15 13:26:11
R20590,2022-05-14 22:07:54
R66646,2022-05-15 02:27:12
R31984,2022-05-14 12:13:12
R17454,2022-05-15 03:46:10
R84924,2022-05-15 19:41:34
R71097,2022-05-14 16:34:07
R16310,2022-05-14 19:32:18
R14891,2022-05-15 11:10:56
R83499,2022-05-15 07:22:24
R62786,2022-05-15 11:05:58
R49681,2022-05-15 23:06:45
R27425,2022-05-15 18:12:34
R34353,2022-05-14 09:47:34
R65896,2022-05-15 14:32:21
R62730,2022-05-15 19:33:08
R31364,2022-05-14 17:57:43
R18921,2022-05-14 22:22:03
R72167,2022-05-15 17:59:50
R60655,2022-05-14 22:55:08
R16748,2022-05-14 17:07:43
R33838,2022-05-14 14:50:24
R29085,2022-05-14 17:21:15
R59636,2022-05-15 17:05:58
R57376,2022-05-14 22:53:11
R13780,2022-05-14 01:56:37
R88105,2022-05-14 00:59:29
R65184,2022-05-15 01:18:56
R49295,2022-05-15 14:37:35
R19571,2022-05-15 08:20:10
R48227,2022-05-14 19:27:01
R23944,2022-05-15 00:00:36
R37022,2022-05-15 14:15:23
R52324,2022-05-15 19:53:25
R89859,2022-05-14 12:41:28
R12785,2022-05-14 12:54:15
R34522,2022-05-14 22:21:47
R12496,2022-05-14 01:13:31
R14855,2022-05-15 01:33:03
R77639,2022-05-14 14:55:34
R58217,2022-05-14 09:49:21
R89350,2022-05-15 23:39:52
R56133,2022-05-14 22:51:20
R48112,2022-05-14 19:20:53
R88550,2022-05-14 08:52:19
R22327,2022-05-15 21:22:02
R16679,2022-05-15 14:57:02
R20323,2022-05-15 22:50:52
R25235,2022-05-15 00:17:51
R83314,2022-05-14 04:01:40
R54753,2022-05-15 09:14:48
R32327,2022-05-15 04:27:18
R33369,2022-05-14 12:11:17
R82831,2022-05-15 06:39:58
R53411,2022-05-15 13:10:53
R88111,2022-05-14 00:30:10
R50204,2022-05-15 20:49:19
R53946,2022-05-15 19:38:54
R59864,2022-05-14 17:32:05
R36900,2022-05-14 13:08:41
R26605,2022-05-14 04:04:10
R10005,2022-05-15 02:29:55
R87455,2022-05-15 19:02:09
R58711,2022-05-15 00:59:07
R47008,2022-05-15 13:26:37
R11062,2022-05-14 12:39:08
R84378,2022-05-14 11:49:58
R41931,2022-05-15 04:39:35
R89632,2022-05-15 03:58:06
R50650,2022-05-14 10:50:01
R84122,2022-05-15 11:20:53
R34967,2022-05-14 07:40:00
R34889,2022-05-15 06:28:16
R34863,2022-05-14 11:10:54
R45187,2022-05-15 23:55:00
R82900,2022-05-15 07:50:42
R18425,2022-05-15 11:31:54
R64884,2022-05-15 21:09:30
R68374,2022-05-14 10:35:02
R49458,2022-05-14 21:39:29
R87637,2022-05-15 22:58:52
R85624,2022-05-15 13:29:51
R11479,2022-05-15 21:57:25
R62668,2022-05-14 01:46:44
